Model,location,horizon,reference_date,target_end_date,wis,baseline,wis_baseline,wis_ratio
CEPH-Rtrend_fluH,27,0,2024-02-17,2024-02-17,11.331321739130441,FluSight-baseline,5.73672608695652,1.9752244690389247
CEPH-Rtrend_fluH,28,0,2024-02-17,2024-02-17,39.40304347826088,FluSight-baseline,9.75259130434783,4.040263992267829
CEPH-Rtrend_fluH,29,0,2024-02-17,2024-02-17,47.97369565217393,FluSight-baseline,20.754347826086953,2.311500995076989
CEPH-Rtrend_fluH,30,0,2024-02-17,2024-02-17,10.210434782608695,FluSight-baseline,47.235652173913046,0.21615949632738718
CEPH-Rtrend_fluH,31,0,2024-02-17,2024-02-17,4.748043478260871,FluSight-baseline,1.6722304347826078,2.839347603955147
CEPH-Rtrend_fluH,32,0,2024-02-17,2024-02-17,24.04608695652174,FluSight-baseline,10.46605652173913,2.2975307754716803
CEPH-Rtrend_fluH,33,0,2024-02-17,2024-02-17,3.0195652173913046,FluSight-baseline,2.4407478260869566,1.2371475599067998
CEPH-Rtrend_fluH,34,0,2024-02-17,2024-02-17,63.39869565217391,FluSight-baseline,29.4782652173913,2.1506928981278914
CEPH-Rtrend_fluH,35,0,2024-02-17,2024-02-17,5.843478260869565,FluSight-baseline,3.036326086956521,1.9245226281762147
CEPH-Rtrend_fluH,36,0,2024-02-17,2024-02-17,81.92135869565219,FluSight-baseline,13.089699999999999,6.258459605311978
CEPH-Rtrend_fluH,37,0,2024-02-17,2024-02-17,49.39478260869565,FluSight-baseline,6.018002173913045,8.207837282414609
CEPH-Rtrend_fluH,38,0,2024-02-17,2024-02-17,7.51695652173913,FluSight-baseline,0.9009652173913044,8.343226105336305
CEPH-Rtrend_fluH,39,0,2024-02-17,2024-02-17,73.07739130434787,FluSight-baseline,4.962434782608693,14.726116212238047
CEPH-Rtrend_fluH,40,0,2024-02-17,2024-02-17,14.211739130434784,FluSight-baseline,57.12592608695652,0.24877914642122065
CEPH-Rtrend_fluH,41,0,2024-02-17,2024-02-17,6.553478260869565,FluSight-baseline,16.98006956521739,0.3859512021254586
CEPH-Rtrend_fluH,42,0,2024-02-17,2024-02-17,85.99436521739132,FluSight-baseline,44.57497826086955,1.929207115124542
CEPH-Rtrend_fluH,44,0,2024-02-17,2024-02-17,3.3956521739130436,FluSight-baseline,5.488269565217391,0.6187108948571737
CEPH-Rtrend_fluH,45,0,2024-02-17,2024-02-17,19.01044347826087,FluSight-baseline,3.666334782608696,5.185135729676718
CEPH-Rtrend_fluH,46,0,2024-02-17,2024-02-17,6.44304347826087,FluSight-baseline,4.965089130434781,1.2976692480234828
CEPH-Rtrend_fluH,47,0,2024-02-17,2024-02-17,27.518478260869593,FluSight-baseline,8.779886956521741,3.134263390535881
CEPH-Rtrend_fluH,48,0,2024-02-17,2024-02-17,165.84282608695656,FluSight-baseline,33.225682608695664,4.991404632377756
CEPH-Rtrend_fluH,49,0,2024-02-17,2024-02-17,4.071304347826087,FluSight-baseline,1.8408978260869564,2.2115862652084934
CEPH-Rtrend_fluH,50,0,2024-02-17,2024-02-17,2.138695652173913,FluSight-baseline,0.7077043478260869,3.022018528985329
CEPH-Rtrend_fluH,51,0,2024-02-17,2024-02-17,36.11304347826089,FluSight-baseline,9.292369565217394,3.886311583370181
CEPH-Rtrend_fluH,53,0,2024-02-17,2024-02-17,10.39304347826087,FluSight-baseline,4.820810869565216,2.1558704042662864
CEPH-Rtrend_fluH,54,0,2024-02-17,2024-02-17,45.91978260869566,FluSight-baseline,39.82574782608696,1.1530174601923469
CEPH-Rtrend_fluH,55,0,2024-02-17,2024-02-17,19.847826086956523,FluSight-baseline,20.165313043478257,0.9842557883511551
CEPH-Rtrend_fluH,56,0,2024-02-17,2024-02-17,15.582173913043475,FluSight-baseline,9.176895652173913,1.6979787614074282
CEPH-Rtrend_fluH,72,0,2024-02-17,2024-02-17,12.97595,FluSight-baseline,9.00663043478261,1.4407108289786508
CEPH-Rtrend_fluH,US,0,2024-02-17,2024-02-17,1003.0374847826088,FluSight-baseline,123.3619739130434,8.130848210078412
CEPH-Rtrend_fluH,01,0,2024-02-24,2024-02-24,8.983532608695654,FluSight-baseline,22.780556521739133,0.39435088427812587
CEPH-Rtrend_fluH,02,0,2024-02-24,2024-02-24,1.8593478260869574,FluSight-baseline,1.1248434782608696,1.6529836035158523
CEPH-Rtrend_fluH,04,0,2024-02-24,2024-02-24,23.559356521739133,FluSight-baseline,17.882321739130436,1.3174663148010641
CEPH-Rtrend_fluH,05,0,2024-02-24,2024-02-24,56.06695652173913,FluSight-baseline,25.696982608695656,2.18184980608449
CEPH-Rtrend_fluH,06,0,2024-02-24,2024-02-24,37.13521739130435,FluSight-baseline,20.53371086956522,1.808500062516496
CEPH-Rtrend_fluH,08,0,2024-02-24,2024-02-24,16.43130434782609,FluSight-baseline,6.109482608695651,2.6894755906890295
CEPH-Rtrend_fluH,09,0,2024-02-24,2024-02-24,48.8295652173913,FluSight-baseline,37.73740869565218,1.2939299995714086
CEPH-Rtrend_fluH,10,0,2024-02-24,2024-02-24,3.142391304347806,FluSight-baseline,8.424469565217391,0.3730076154968835
CEPH-Rtrend_fluH,11,0,2024-02-24,2024-02-24,2.3060869565217392,FluSight-baseline,0.7775,2.966028239899343
CEPH-Rtrend_fluH,12,0,2024-02-24,2024-02-24,69.56663043478262,FluSight-baseline,22.648426086956523,3.0715878519632236
CEPH-Rtrend_fluH,13,0,2024-02-24,2024-02-24,20.797826086956523,FluSight-baseline,21.042873913043476,0.9883548308515473
CEPH-Rtrend_fluH,15,0,2024-02-24,2024-02-24,2.5167478260869567,FluSight-baseline,2.3738586956521766,1.0601927699809965
CEPH-Rtrend_fluH,16,0,2024-02-24,2024-02-24,19.85478260869565,FluSight-baseline,22.65330434782609,0.8764629788148766
CEPH-Rtrend_fluH,17,0,2024-02-24,2024-02-24,25.400008695652172,FluSight-baseline,34.544004347826096,0.7352942768272501
CEPH-Rtrend_fluH,18,0,2024-02-24,2024-02-24,73.32784347826087,FluSight-baseline,34.06658695652173,2.1524857647714235
