location,reference_date,decrease,increase,stable
01,2023-10-14,0.0035691876806486,0.0300963147306998,0.9663344975886514
01,2023-10-21,0.0035738943920106004,0.0216548258678601,0.9747712797401292
01,2023-10-28,0.0029790115805958,0.0169595260504422,0.9800614623689616
01,2023-11-04,0.003189791463588,0.0285210924951362,0.9682891160412757
01,2023-11-11,0.00015409387406372722,0.0376211587081397,0.9622247474177966
01,2023-11-18,0.0072178100259221,0.0752634205183855,0.917518769455692
01,2023-11-25,0.0212856431371135,0.1015290286271524,0.8771853282357338
01,2023-12-02,0.013528962062546,0.09472173302210041,0.8917493049153533
01,2023-12-09,0.0191914512044617,0.1354025233177829,0.8454060254777551
01,2023-12-16,0.045016223306588304,0.1583518603240412,0.7966319163693703
01,2023-12-23,0.0568392812859042,0.2703033165004643,0.6728574022136313
01,2023-12-30,0.1155719265676156,0.4501359767640194,0.4342920966683648
01,2024-01-06,0.2071117943082652,0.38754908445704017,0.4053391212346945
01,2024-01-13,0.2186069110066575,0.34747379254896604,0.4339192964443764
01,2024-01-20,0.3285718882608596,0.291749885045253,0.3796782266938873
01,2024-01-27,0.3358785962393694,0.115462647650006,0.5486587561106244
01,2024-02-03,0.2454403121762703,0.0761220362841466,0.678437651539583
01,2024-02-10,0.1813735924316571,0.06935337388754309,0.7492730336807996
01,2024-02-17,0.05624656681397932,0.070425654521194,0.8733277786648265
01,2024-02-24,0.1223509261957044,0.0660076479298962,0.8116414258743992
01,2024-03-02,0.14205146253905382,0.0793005702680323,0.7786479671929136
01,2024-03-09,0.0340663754428708,0.0667494312721917,0.8991841932849374
01,2024-03-16,0.0311960911544377,0.07488006779967821,0.8939238410458837
01,2024-03-23,0.05126787096283408,0.0615881605728001,0.8871439684643658
01,2024-03-30,0.0618708702933241,0.0345301942496931,0.9035989354569826
01,2024-04-06,0.0086283215341792,0.031207044930772202,0.9601646335350484
01,2024-04-13,0.005716588374516799,0.0282952968573697,0.9659881147681134
01,2024-04-20,0.0028743989034183,0.0188152275353375,0.978310373561244
01,2024-04-27,0.0046985943294651,0.014438431743543199,0.9808629739269914
01,2024-05-04,0.008427931457379599,0.0106924761812342,0.980879592361386
01,2024-11-23,0.2046560376101973,0.3290064083696795,0.4663375540201229
02,2023-10-14,0.0041804641626512,0.0920366059404032,0.9037829298969456
02,2023-10-21,0.014348100171806799,0.11537699198131579,0.8702749078468772
02,2023-10-28,0.0995497849280057,0.2332121157721965,0.6672380992997977
02,2023-11-04,0.1017529608141352,0.3655609326421127,0.532686106543752
02,2023-11-11,0.1102819578780526,0.2929224000797088,0.5967956420422385
02,2023-11-18,0.1548941344659599,0.3078056268358318,0.5373002386982082
