reference_date,target,target_end_date,location,output_type,output_type_id,value,horizon,model
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.01,0.0,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.025,0.0,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.05,0.0,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.1,0.0,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.15,0.0,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.2,0.0,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.25,0.0,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.3,0.0,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.35,0.8,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.4,1.1,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.45,1.2200000000000006,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.5,1.4,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,point,nan,1.4,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.55,1.5,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.6,1.6,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.65,2.0,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.7,2.4,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.75,2.8,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.8,3.0,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.85,3.5,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.9,4.199999999999999,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.95,4.839999999999995,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.975,6.0,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-02-26,02,quantile,0.99,8.07599999999999,0,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-03-05,02,quantile,0.01,0.0,1,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-03-05,02,quantile,0.025,0.0,1,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-03-05,02,quantile,0.05,0.0,1,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-03-05,02,quantile,0.1,0.0,1,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-03-05,02,quantile,0.15,0.0,1,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-03-05,02,quantile,0.2,0.0,1,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-03-05,02,quantile,0.25,0.0,1,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-03-05,02,quantile,0.3,0.0,1,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-03-05,02,quantile,0.35,0.9,1,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-03-05,02,quantile,0.4,1.1,1,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-03-05,02,quantile,0.45,1.3,1,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-03-05,02,quantile,0.5,1.5,1,MOBS-GLEAM_FLUH
2022-02-26,wk inc flu hosp,2022-03-05,02,point,nan,1.5,1,MOBS-GLEAM_FLUH
