reference_date,target,target_end_date,location,output_type,output_type_id,value,horizon,model
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.01,0.0,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.025,0.0,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.05,0.0,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.1,0.0,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.15,0.0,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.2,0.8800000000000002,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.25,1.3,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.3,1.8,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.35,2.2,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.4,2.4,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.45,2.4400000000000004,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.5,2.6,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,point,nan,2.6,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.55,3.0,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.6,3.3000000000000003,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.65,3.58,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.7,3.9,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.75,4.0,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.8,4.6800000000000015,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.85,5.239999999999999,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.9,5.900000000000001,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.95,6.54,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.975,7.199999999999999,0,MOBS-GLEAM_FLUH
2022-06-04,wk inc flu hosp,2022-06-04,02,quantile,0.99,7.728,0,MOBS-GLEAM_FLUH
