reference_date,target,target_end_date,output_type_id,output_type,location,value,horizon,model
2022-12-17,wk inc flu hosp,2022-12-17,nan,point,US,27297.830786532613,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.01,quantile,US,17084.273321252065,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.025,quantile,US,18049.99201733143,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.05,quantile,US,19042.74229897355,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.1,quantile,US,20375.70197354888,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.15,quantile,US,21422.962973747115,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.2,quantile,US,22359.831664313555,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.25,quantile,US,23207.12440594929,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.3,quantile,US,24021.27585675144,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.35,quantile,US,24828.11914982576,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.4,quantile,US,25629.69307245009,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.45,quantile,US,26457.631928385825,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.5,quantile,US,27297.830786532613,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.55,quantile,US,28156.599747848155,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.6,quantile,US,29058.98051600968,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.65,quantile,US,30001.288616137757,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.7,quantile,US,31001.31393703364,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.75,quantile,US,32104.12330727696,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.8,quantile,US,33382.83155631093,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.85,quantile,US,34840.70723155051,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.9,quantile,US,36645.82880160286,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.95,quantile,US,39164.38609547546,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.975,quantile,US,41222.100174099345,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-17,0.99,quantile,US,43348.01071709169,0,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-24,nan,point,US,25235.24035231925,1,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-24,0.01,quantile,US,13737.945273743984,1,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-24,0.025,quantile,US,14791.32863300076,1,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-24,0.05,quantile,US,15934.196165823503,1,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-24,0.1,quantile,US,17476.988996425815,1,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-24,0.15,quantile,US,18675.59914255397,1,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-24,0.2,quantile,US,19715.674447086876,1,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-24,0.25,quantile,US,20676.030460536233,1,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-24,0.3,quantile,US,21606.498745823243,1,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-24,0.35,quantile,US,22506.205774219314,1,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-24,0.4,quantile,US,23396.98436590758,1,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-24,0.45,quantile,US,24306.407295790865,1,MOBS-GLEAM_FLUH
2022-12-17,wk inc flu hosp,2022-12-24,0.5,quantile,US,25235.24035231925,1,MOBS-GLEAM_FLUH
