reference_date,target,target_end_date,location,output_type,output_type_id,value,horizon,model
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.01,0.0,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.025,0.0,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.05,0.0,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.1,0.0,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.15,0.0,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.2,0.9800000000000004,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.25,1.15,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.3,1.3,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.35,1.5,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.4,1.6,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.45,1.6,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.5,2.1,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,point,nan,2.1,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.55,2.6,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.6,3.0,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.65,3.2,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.7,3.6,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.75,4.0,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.8,4.199999999999999,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.85,4.800000000000001,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.9,5.6,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.95,6.719999999999993,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.975,8.489999999999993,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-12,02,quantile,0.99,10.8,0,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-19,02,quantile,0.01,0.0,1,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-19,02,quantile,0.025,0.0,1,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-19,02,quantile,0.05,0.0,1,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-19,02,quantile,0.1,0.0,1,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-19,02,quantile,0.15,0.0,1,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-19,02,quantile,0.2,0.8,1,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-19,02,quantile,0.25,1.1,1,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-19,02,quantile,0.3,1.3,1,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-19,02,quantile,0.35,1.5,1,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-19,02,quantile,0.4,2.0,1,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-19,02,quantile,0.45,2.4,1,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-19,02,quantile,0.5,2.7,1,MOBS-GLEAM_FLUH
2022-02-12,wk inc flu hosp,2022-02-19,02,point,nan,2.7,1,MOBS-GLEAM_FLUH
