reference_date,target,target_end_date,location,output_type,output_type_id,value,horizon,model
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.01,1.2480000000000002,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.025,3.120000000000001,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.05,4.08,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.1,4.58,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.15,6.579999999999999,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.2,7.74,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.25,8.4,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.3,9.28,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.35,9.8,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.4,10.36,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.45,11.2,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.5,11.4,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,point,nan,11.4,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.55,12.36,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.6,13.1,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.65,13.5,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.7,14.16,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.75,14.4,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.8,16.500000000000004,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.85,18.04,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.9,21.56,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.95,23.04,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.975,24.04,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,02,quantile,0.99,24.136000000000003,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.01,3.768,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.025,4.920000000000001,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.05,5.52,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.1,6.24,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.15,7.68,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.2,8.040000000000001,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.25,8.399999999999999,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.3,8.92,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.35,9.0,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.4,9.0,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.45,9.6,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.5,9.8,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,point,nan,9.8,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.55,9.92,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.6,10.42,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.65,10.5,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.7,11.2,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.75,11.7,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.8,12.6,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.85,14.06,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.9,15.660000000000002,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.95,17.779999999999998,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.975,18.46,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-04,02,quantile,0.99,19.084,1,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.01,2.112,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.025,5.280000000000001,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.05,6.96,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.1,7.72,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.15,8.28,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.2,9.0,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.25,9.0,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.3,10.92,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.35,11.36,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.4,12.0,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.45,12.0,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.5,12.6,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,point,nan,12.6,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.55,12.8,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.6,12.84,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.65,13.8,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.7,14.0,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.75,14.4,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.8,15.0,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.85,16.32,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.9,17.76,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.95,19.68,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.975,20.32,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-11,02,quantile,0.99,21.568,2,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.01,2.664,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.025,2.76,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.05,2.92,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.1,4.7,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.15,5.58,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.2,6.4,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.25,9.0,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.3,9.9,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.35,10.88,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.4,11.2,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.45,11.2,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.5,11.4,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,point,nan,11.4,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.55,12.0,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.6,12.0,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.65,12.48,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.7,12.8,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.75,13.0,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.8,14.24,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.85,15.0,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.9,15.8,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.95,18.8,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.975,20.4,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-06-18,02,quantile,0.99,21.36,3,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,01,quantile,0.01,0.5716326599774205,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,01,quantile,0.025,0.6718420189240994,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,01,quantile,0.05,1.8556386879391544,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,01,quantile,0.1,3.174289039549905,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,01,quantile,0.15,4.448808711814841,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,01,quantile,0.2,4.758960540479678,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,01,quantile,0.25,5.300814450665987,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,01,quantile,0.3,5.5176888806753945,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,01,quantile,0.35,6.1180030249089485,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,01,quantile,0.4,6.294855140525799,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,01,quantile,0.45,6.740768193715045,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,01,quantile,0.5,6.8808316044702815,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,01,point,nan,6.8808316044702815,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,01,quantile,0.55,7.1404793889175515,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,01,quantile,0.6,7.7287289213390205,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,01,quantile,0.65,8.288907313216404,0,MOBS-GLEAM_FLUH
2022-05-28,wk inc flu hosp,2022-05-28,01,quantile,0.7,8.560165962449668,0,MOBS-GLEAM_FLUH
