reference_date,target,target_end_date,output_type_id,output_type,location,value,horizon,model
2022-12-24,wk inc flu hosp,2022-12-24,nan,point,US,19946.32773707192,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.01,quantile,US,11201.31872072773,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.025,quantile,US,11918.822793920526,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.05,quantile,US,12673.370067096894,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.1,quantile,US,13774.258011426324,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.15,quantile,US,14663.079515105142,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.2,quantile,US,15468.995303854002,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.25,quantile,US,16224.479837334107,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.3,quantile,US,16969.624167738268,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.35,quantile,US,17713.90464050315,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.4,quantile,US,18450.860372775045,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.45,quantile,US,19194.88485399496,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.5,quantile,US,19946.32773707192,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.55,quantile,US,20709.905892720504,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.6,quantile,US,21502.807924011944,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.65,quantile,US,22335.704963943812,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.7,quantile,US,23235.260693760058,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.75,quantile,US,24222.542997512093,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.8,quantile,US,25344.023897862615,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.85,quantile,US,26669.86640841796,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.9,quantile,US,28333.40698528128,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.95,quantile,US,30648.54561780888,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.975,quantile,US,32433.22597070866,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.99,quantile,US,34356.55922763582,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,nan,point,US,14062.37570043659,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.01,quantile,US,7009.854849326561,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.025,quantile,US,7574.774139605239,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.05,quantile,US,8197.051659459163,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.1,quantile,US,9075.137398393466,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.15,quantile,US,9788.78959723794,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.2,quantile,US,10431.043764011802,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.25,quantile,US,11030.278185657902,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.3,quantile,US,11622.79326505805,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.35,quantile,US,12213.636487236385,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.4,quantile,US,12810.414976104665,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.45,quantile,US,13428.929812688726,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.5,quantile,US,14062.37570043659,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.55,quantile,US,14713.986912086924,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.6,quantile,US,15397.521416981815,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.65,quantile,US,16118.620845964171,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.7,quantile,US,16900.192566074787,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.75,quantile,US,17760.501069649603,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.8,quantile,US,18740.09281708142,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.85,quantile,US,19907.44205888524,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.9,quantile,US,21401.223567837613,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.95,quantile,US,23555.41429524569,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.975,quantile,US,25281.01437146503,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.99,quantile,US,27230.197977789616,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,nan,point,US,9065.0237607619,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.01,quantile,US,4095.003622484938,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.025,quantile,US,4474.692363581388,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.05,quantile,US,4908.284215046335,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.1,quantile,US,5521.35156469119,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.15,quantile,US,6022.946681276769,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.2,quantile,US,6472.760384707098,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.25,quantile,US,6904.353506895121,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.3,quantile,US,7322.911628233918,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.35,quantile,US,7738.350631017594,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.4,quantile,US,8164.8962928628125,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.45,quantile,US,8604.853025866074,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.5,quantile,US,9065.0237607619,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.55,quantile,US,9556.936528919308,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.6,quantile,US,10067.354688708629,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.65,quantile,US,10621.996729926044,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.7,quantile,US,11222.461515252082,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.75,quantile,US,11899.032869930195,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.8,quantile,US,12672.85329017672,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.85,quantile,US,13588.647743043122,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.9,quantile,US,14757.96793986775,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.95,quantile,US,16494.845583142316,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.975,quantile,US,17930.736311563138,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.99,quantile,US,19547.07364480626,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,nan,point,US,6534.708808611197,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.01,quantile,US,2689.753319361645,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.025,quantile,US,2962.116977896235,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.05,quantile,US,3283.0756235658387,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.1,quantile,US,3757.457951654762,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.15,quantile,US,4141.123019828792,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.2,quantile,US,4491.964929409514,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.25,quantile,US,4821.6499647847095,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.3,quantile,US,5149.915888710712,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.35,quantile,US,5482.246443473904,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.4,quantile,US,5819.702910457936,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.45,quantile,US,6168.587919247609,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.5,quantile,US,6534.708808611197,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.55,quantile,US,6931.414500903945,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.6,quantile,US,7356.428732036212,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.65,quantile,US,7816.405971771017,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.7,quantile,US,8332.166761779212,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.75,quantile,US,8908.469279893896,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.8,quantile,US,9574.382730694946,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.85,quantile,US,10383.117074193256,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.9,quantile,US,11415.434023929907,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.95,quantile,US,12960.404780935698,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.975,quantile,US,14338.98079417507,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.99,quantile,US,15794.215468976918,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,nan,point,01,122.2561706648934,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,nan,point,01,80.84368019182956,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,nan,point,01,53.70282026088192,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,nan,point,01,41.16946437596298,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.01,quantile,01,87.51707757727199,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.01,quantile,01,56.49784243223988,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.01,quantile,01,36.3783717050114,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.01,quantile,01,27.995885267345688,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.025,quantile,01,91.5216435860456,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.025,quantile,01,59.10478570033051,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.025,quantile,01,38.83980199155646,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.025,quantile,01,29.898080565028025,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.05,quantile,01,95.44809304838128,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.05,quantile,01,61.905820016196714,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.05,quantile,01,40.671823223678125,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.05,quantile,01,31.461084747196487,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.1,quantile,01,100.54098450366806,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.1,quantile,01,65.2372751401552,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.1,quantile,01,43.20797608976056,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.1,quantile,01,33.01223430633067,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.15,quantile,01,104.11417963618678,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.15,quantile,01,67.83893922735807,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.15,quantile,01,44.94566276710995,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.15,quantile,01,34.42846179317455,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.2,quantile,01,107.27926480862445,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.2,quantile,01,69.99200204709643,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.2,quantile,01,46.40791669103968,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.2,quantile,01,35.55184792055903,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.25,quantile,01,110.12529123743282,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.25,quantile,01,72.14986698454814,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.25,quantile,01,47.76679370442036,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.25,quantile,01,36.536684406152766,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.3,quantile,01,112.74712858720956,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.3,quantile,01,74.0365037866198,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.3,quantile,01,49.0279880247784,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.3,quantile,01,37.52651851632256,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.35,quantile,01,115.4796661223731,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.35,quantile,01,75.84513890096989,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.35,quantile,01,50.269697812364925,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.35,quantile,01,38.438377572522505,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.4,quantile,01,117.6309018987588,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.4,quantile,01,77.47705349854219,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.4,quantile,01,51.435263340102416,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.4,quantile,01,39.48787794491568,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.45,quantile,01,119.81311141356096,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.45,quantile,01,79.21060356601734,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.45,quantile,01,52.559654554666885,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.45,quantile,01,40.277997078089165,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.5,quantile,01,122.2561706648934,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.5,quantile,01,80.84368019182956,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.5,quantile,01,53.70282026088192,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.5,quantile,01,41.16946437596298,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.55,quantile,01,124.22480624769126,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.55,quantile,01,82.41128696016422,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.55,quantile,01,54.9719450837425,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.55,quantile,01,42.1389927127948,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.6,quantile,01,126.61309000763656,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.6,quantile,01,84.40896335810416,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.6,quantile,01,56.1260998479661,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.6,quantile,01,43.286537897664715,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.65,quantile,01,129.16519857096415,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.65,quantile,01,86.21506806749632,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.65,quantile,01,57.38220537794928,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.65,quantile,01,44.487145107475854,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.7,quantile,01,131.50310473817456,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.7,quantile,01,88.06521792971381,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.7,quantile,01,59.16625444021189,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.7,quantile,01,45.73483036621148,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.75,quantile,01,134.00863348530422,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.75,quantile,01,90.2526285203979,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.75,quantile,01,60.77179917664222,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.75,quantile,01,46.99472547059159,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.8,quantile,01,136.88068585810532,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.8,quantile,01,92.5443195604859,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.8,quantile,01,62.51976692572583,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.8,quantile,01,48.459070531249736,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.85,quantile,01,140.01794123824402,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.85,quantile,01,95.13176432126868,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.85,quantile,01,64.55458557009445,2,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-14,0.85,quantile,01,50.5101105712877,3,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-24,0.9,quantile,01,143.9146065004631,0,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2022-12-31,0.9,quantile,01,99.0488633231698,1,MOBS-GLEAM_FLUH
2022-12-24,wk inc flu hosp,2023-01-07,0.9,quantile,01,67.1334465331533,2,MOBS-GLEAM_FLUH
