reference_date,target,target_end_date,output_type_id,output_type,location,value,horizon,model
2022-12-03,wk inc flu hosp,2022-12-03,nan,point,US,16988.90486306976,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.01,quantile,US,13201.83413172917,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.025,quantile,US,13655.26779740479,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.05,quantile,US,14080.743559208237,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.1,quantile,US,14608.441763938396,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.15,quantile,US,14996.392559954564,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.2,quantile,US,15323.061682188105,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.25,quantile,US,15621.420649826416,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.3,quantile,US,15901.5239028861,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.35,quantile,US,16172.175546481929,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.4,quantile,US,16443.653532168657,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.45,quantile,US,16710.37854268094,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.5,quantile,US,16988.90486306976,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.55,quantile,US,17280.517403714617,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.6,quantile,US,17579.71795059585,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.65,quantile,US,17901.16911528135,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.7,quantile,US,18258.277173137463,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.75,quantile,US,18650.204056791623,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.8,quantile,US,19100.843747107017,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.85,quantile,US,19635.75817588276,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.9,quantile,US,20319.159548606236,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.95,quantile,US,21364.40564942633,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.975,quantile,US,22277.088809742487,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-03,0.99,quantile,US,23372.685334208218,0,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,nan,point,US,18569.747706244092,1,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,0.01,quantile,US,12835.96560340138,1,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,0.025,quantile,US,13511.475611618043,1,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,0.05,quantile,US,14166.040940334138,1,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,0.1,quantile,US,14981.502193580967,1,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,0.15,quantile,US,15574.075804258877,1,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,0.2,quantile,US,16077.76424500094,1,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,0.25,quantile,US,16529.91364266646,1,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,0.3,quantile,US,16957.585692165307,1,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,0.35,quantile,US,17360.520250548598,1,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,0.4,quantile,US,17760.700622648612,1,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,0.45,quantile,US,18164.156030477567,1,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,0.5,quantile,US,18569.747706244092,1,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,0.55,quantile,US,18989.9765695666,1,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,0.6,quantile,US,19424.5690627534,1,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,0.65,quantile,US,19894.74850336674,1,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,0.7,quantile,US,20402.06761680592,1,MOBS-GLEAM_FLUH
2022-12-03,wk inc flu hosp,2022-12-10,0.75,quantile,US,20964.570322730313,1,MOBS-GLEAM_FLUH
