reference_date,target,target_end_date,location,output_type,output_type_id,value,horizon,model
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.01,0.0,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.025,0.0,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.05,0.0,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.1,0.0,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.15,0.8,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.2,1.1,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.25,1.2000000000000002,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.3,1.4,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.35,1.6,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.4,2.0,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.45,2.0,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.5,2.4,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,point,nan,2.4,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.55,2.4000000000000004,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.6,2.8,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.65,3.0,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.7,3.5,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.75,3.9,0,MOBS-GLEAM_FLUH
2022-04-16,wk inc flu hosp,2022-04-16,02,quantile,0.8,4.2,0,MOBS-GLEAM_FLUH
